date, pm25, pm10, o3, no2, so2, co
2021/9/15, 36, 26, 25, 3, 9, 
2021/9/16, 35, 41, 24, 2, 8, 
2021/9/17, 52, , 23, 5, 12, 
2021/8/8, 59, 36, 30, 4, 8, 
2021/8/9, 95, 66, 25, 1, 8, 
2021/8/10, 176, 82, 34, 3, 6, 
2021/8/11, 198, 61, 25, 7, 17, 
2021/8/12, 174, 63, 30, 4, 9, 
2021/8/13, 136, 27, 37, 6, 11, 
2021/8/14, 75, 19, 30, 6, 5, 
2021/8/15, 49, 34, 30, 3, 5, 
2021/8/16, 58, 40, 28, 4, 4, 
2021/8/17, 64, 23, 28, 4, 5, 
2021/8/18, 47, , 32, 5, 10, 
2021/7/2, 37, 22, 18, 3, 2, 
2021/7/3, 52, 39, 17, 4, 4, 
2021/7/4, 58, 27, 23, 4, 10, 
2021/7/5, 43, 36, 26, 1, 5, 
2021/7/6, 66, 39, 32, 3, 9, 
2021/7/7, 66, 32, 33, 2, 9, 
2021/7/8, 60, 51, 32, 4, 12, 
2021/7/9, 67, 31, 31, 3, 8, 
2021/7/10, 55, , 32, 4, 13, 
2021/6/3, 38, 45, 28, 6, 7, 
2021/6/4, 72, 54, 29, 4, 8, 
2021/6/5, 76, 40, 33, 4, 7, 
2021/6/6, 62, 59, 29, 3, 8, 
2021/6/7, 78, 11, 29, 3, 8, 
2021/6/8, 27, 8, 16, 1, , 
2021/6/9, 40, 36, 18, 5, 1, 
2021/6/10, 71, 28, 24, 5, 6, 
2021/6/11, 50, 44, 23, 2, 2, 
2021/6/12, 69, 52, 26, 6, 9, 
2021/6/13, 80, 36, 32, 6, 5, 
2021/6/14, 53, 32, 30, 5, 6, 
2021/6/15, 64, 12, 25, 5, 3, 
2021/6/16, 48, 27, 20, 9, 2, 
2021/6/17, 49, 14, 19, 3, 2, 
2021/6/18, 36, 48, 17, 2, 1, 
2021/6/19, 61, 53, 25, 3, 3, 
2021/6/20, 80, 42, 26, 5, 6, 
2021/6/21, 66, 48, 29, 4, 6, 
2021/6/22, 64, 29, 26, 3, 6, 
2021/6/23, 54, 36, 26, 4, 3, 
2021/6/24, 54, 44, 34, 4, 8, 
2021/6/25, 59, 28, 28, 3, 5, 
2021/6/26, 47, 40, 27, 2, 4, 
2021/6/27, 60, 53, 35, 3, 9, 
2021/6/28, 67, 31, 32, 3, 9, 
2021/6/29, 53, 6, 31, 2, 8, 
