date, pm25, pm10, so2
2020/10/2, 59, 51, 5
2020/10/4, 59, 27, 5
2020/10/5, 59, 47, 8
2020/10/6, 59, 47, 9
2020/10/7, 59, 54, 12
2020/10/8, 59, 58, 6
2020/10/9, 40, 33, 7
2020/7/2, 92, , 1
2020/7/3, 113, , 1
2020/7/4, 102, , 
2020/7/5, 55, , 1
2020/7/6, 74, , 1
2020/7/7, 102, , 1
2020/7/8, 101, , 1
2020/7/9, 90, , 1
2020/7/10, 67, , 
2020/7/11, 22, , 1
2020/7/12, 54, , 1
2020/7/13, 70, , 1
2020/7/14, 61, , 
2020/7/15, 53, , 
2020/7/16, 44, , 
2020/7/17, 42, , 
2020/7/18, 43, , 1
2020/7/19, 63, , 1
2020/7/20, 58, , 1
2020/7/21, 47, , 1
2020/8/4, 59, , 1
2020/8/5, 45, , 1
2020/8/6, 57, , 1
2020/8/7, 49, , 1
2020/8/8, 40, , 1
2020/8/12, 82, , 1
2020/8/13, 66, , 1
2020/8/14, 58, , 
2020/8/15, 63, , 
2020/8/16, 62, , 
2020/9/13, 72, 10, 2
2020/9/14, 41, 14, 2
2020/9/15, 62, 11, 2
2020/9/16, 37, , 
2020/9/22, 78, 83, 3
2020/9/23, 89, 75, 3
2020/9/24, 84, 220, 4
2020/9/25, 63, 132, 4
2020/9/26, 59, 50, 2
2020/9/27, 59, 111, 5
2020/9/28, 59, 142, 5
2020/9/29, 59, 90, 6
2020/9/30, 59, 33, 4
2020/10/1, 59, 49, 8
2020/4/2, 103, , 11
2020/4/3, 114, , 11
2020/4/4, 109, , 8
2020/4/5, 107, , 8
2020/4/6, 114, , 5
2020/4/7, 105, , 5
2020/4/8, 96, , 7
2020/4/9, 97, , 6
2020/4/10, 97, , 7
2020/4/11, 121, , 6
2020/4/12, 113, , 12
2020/4/13, 152, , 4
2020/4/14, 145, , 1
2020/4/15, 100, , 1
2020/4/16, 62, , 5
2020/4/17, 114, , 6
2020/4/18, 126, , 4
2020/4/19, 86, , 2
2020/4/20, 72, , 4
2020/4/21, 79, , 10
2020/4/22, 117, , 5
2020/4/23, 132, , 11
2020/4/24, 155, , 11
2020/4/25, 195, , 6
2020/4/26, 161, , 5
2020/4/27, 151, , 6
2020/4/28, 133, , 2
2020/4/29, 139, , 4
2020/4/30, 145, , 1
2020/5/1, 136, , 1
2020/5/2, 122, , 1
2020/5/3, 67, , 1
2020/5/4, 96, , 1
2020/5/5, 101, , 
2020/5/6, 112, , 1
2020/5/7, 116, , 1
2020/5/8, 77, , 2
2020/5/9, 75, , 1
2020/5/16, 57, , 1
2020/5/17, 53, , 1
2020/5/18, 64, , 2
2020/5/19, 83, , 1
2020/5/20, 92, , 2
2020/5/21, 78, , 1
2020/5/22, 53, , 1
2020/5/23, 43, , 1
2020/5/24, 55, , 2
2020/5/25, 93, , 1
2020/5/26, 78, , 1
2020/5/27, 90, , 1
2020/5/28, 106, , 
2020/5/29, 73, , 
2020/5/30, 31, , 1
2020/5/31, 53, , 5
2020/6/1, 76, , 1
2020/6/2, 85, , 1
2020/6/3, 69, , 2
2020/6/4, 88, , 2
2020/6/5, 77, , 4
2020/6/6, 99, , 2
2020/6/7, 90, , 1
2020/6/8, 74, , 1
2020/6/9, 59, , 4
2020/6/10, 87, , 2
2020/6/11, 86, , 1
2020/6/12, 74, , 1
2020/6/13, 60, , 1
2020/6/14, 78, , 2
2020/6/15, 103, , 2
2020/6/16, 59, , 2
2020/2/12, 164, , 
2020/2/13, 107, , 
2020/2/14, 41, , 
2020/2/15, 212, , 
2020/2/16, 308, , 
2020/2/17, 315, , 
2020/2/18, 316, , 
2020/2/19, 303, , 
2020/2/20, 237, , 
2020/2/21, 97, , 
2020/2/22, 202, , 39
2020/2/23, 211, , 37
2020/2/24, 241, , 24
2020/2/25, 174, , 20
2020/2/26, 118, , 16
2020/2/27, 121, , 22
2020/2/28, 177, , 27
2020/2/29, 184, , 15
2020/3/1, 116, , 20
2020/3/2, 161, , 2
2020/3/3, 54, , 25
2020/3/4, 124, , 37
2020/3/5, 195, , 29
2020/3/6, 172, , 20
2020/3/7, 155, , 33
2020/3/8, 172, , 13
2020/3/9, 86, , 20
2020/3/10, 159, , 26
2020/3/11, 169, , 26
2020/3/12, 150, , 15
2020/3/13, 145, , 16
2020/3/14, 125, , 15
2020/3/15, 129, , 18
2020/3/16, 123, , 13
2020/3/17, 103, , 14
2020/3/18, 134, , 4
2020/3/19, 54, , 11
2020/3/20, 91, , 7
2020/3/21, 96, , 9
2020/3/22, 108, , 8
2020/3/23, 103, , 11
2020/3/24, 113, , 11
2020/3/25, 120, , 3
2020/3/26, 53, , 6
2020/3/27, 84, , 9
2020/3/28, 96, , 11
2020/3/29, 106, , 9
2020/3/30, 103, , 3
2020/3/31, 80, , 9
2020/4/1, 108, , 8
2019/10/2, 77, 23, 1
2019/10/3, 38, 45, 
2019/10/4, 50, 83, 
2019/10/5, 102, 109, 
2019/10/6, 121, 147, 
2019/10/7, 120, 163, 
2019/10/8, 101, 201, 
2019/10/9, 134, 258, 
2019/10/10, 128, 96, 
2019/10/11, 99, 84, 
2019/10/12, 74, 98, 
2019/10/13, 131, 105, 
