date, pm25, pm10, o3, no2, so2, co
2021/11/2, 133, 38, 18, 1, 21, 
2021/11/3, 90, 82, 5, 3, 51, 
2021/11/4, 194, 77, 6, 2, 52, 
2021/11/5, 181, 72, 10, 2, 45, 
2021/11/6, 176, 58, 14, 2, 41, 
2021/11/7, 149, 67, 13, 2, 46, 
2021/11/8, 173, 70, 11, 2, 49, 
2021/11/9, 172, 62, 15, 2, 42, 
2021/11/10, 154, 76, 13, 3, 52, 
2021/11/11, 194, 68, 10, 2, 52, 
2021/11/12, 178, 67, 11, 2, 48, 
2021/11/13, 175, 71, 12, 2, 50, 
2021/11/14, 182, 64, 13, 3, 48, 
2021/11/15, 168, 72, 9, 3, 56, 
2021/11/16, 189, 61, 5, 2, 46, 
2021/11/17, 163, 48, 27, 2, 23, 
2021/11/18, 103, 53, 13, 2, 36, 
2021/11/19, 144, , , , , 
2021/10/2, 96, 20, , , 9, 
2021/10/3, 56, 5, , , 4, 
2021/10/4, 28, 44, , 1, 19, 
2021/10/5, 114, 37, , 1, 14, 
2021/10/6, 66, 43, , 1, 17, 
2021/10/7, 82, 43, , 2, 17, 
2021/10/8, 99, 39, , 1, 15, 
2021/10/9, 121, , , , , 
2021/10/11, 123, 50, , 2, 30, 
2021/10/12, 128, 51, , 2, 26, 
2021/10/13, 114, 55, , 2, 31, 
2021/10/14, 137, 46, , 1, 19, 
2021/10/15, 106, 38, , 1, 16, 
2021/10/16, 87, 55, , 1, 34, 
2021/10/17, 142, 53, , 1, 29, 
2021/10/18, 130, 55, , 1, 31, 
2021/10/19, 142, 59, , 1, 35, 
2021/10/20, 147, 58, 17, 2, 32, 
2021/10/21, 137, 56, 13, 2, 43, 
2021/10/22, 142, 58, 14, 2, 41, 
2021/10/23, 142, 61, 14, 2, 41, 
2021/10/24, 147, 59, 12, 2, 38, 
2021/10/25, 143, 61, 18, 2, 36, 
2021/10/26, 143, 67, 14, 2, 41, 
2021/10/27, 163, 61, 9, 2, 40, 
2021/10/28, 147, 66, 10, 3, 41, 
2021/10/29, 158, 51, 16, 1, 23, 
2021/10/30, 115, 63, 12, 2, 40, 
2021/10/31, 164, 53, 12, 2, 39, 
2021/11/1, 142, 55, 13, 2, 33, 
2021/9/2, 54, 21, , 1, 4, 
2021/9/3, 65, 17, , , 4, 
2021/9/4, 48, 10, , , 4, 
2021/9/5, 28, 20, , , 5, 
2021/9/6, 63, 17, , , 5, 
2021/9/7, 52, 26, , 1, 7, 
2021/9/8, 71, 18, , , 4, 
2021/9/9, 48, 29, , 1, 7, 
2021/9/10, 72, 31, , 2, 11, 
2021/9/11, 61, 25, , 1, 6, 
2021/9/12, 65, 18, , 1, 5, 
2021/9/13, 44, 28, , 1, 5, 
2021/9/14, 56, 27, , 1, 4, 
2021/9/15, 61, 18, , , 4, 
2021/9/16, 62, 35, , 1, 7, 
2021/9/17, 60, 43, , 2, 6, 
2021/9/18, 72, 39, , 1, 10, 
2021/9/19, 63, 26, , 1, 4, 
2021/9/20, 76, 25, , 2, 4, 
2021/9/21, 95, 26, , 1, 8, 
2021/9/22, 69, 26, , 1, 7, 
2021/9/23, 58, 16, , 1, 4, 
2021/9/24, 58, 33, , 1, 7, 
2021/9/25, 65, 25, , 1, 5, 
2021/9/26, 52, 17, , 1, 6, 
2021/9/27, 56, 28, , , 8, 
2021/9/28, 55, 20, , 1, 7, 
2021/9/29, 56, 25, , 1, 9, 
2021/9/30, 73, 38, , 1, 14, 
2021/10/1, 95, 42, , 1, 17, 
2021/8/2, 90, 30, 24, 1, 4, 
2021/8/3, 75, 16, 14, , 4, 
2021/8/4, 51, 50, 26, , 3, 
2021/8/5, 143, 53, 6, 1, 4, 
2021/8/6, 130, 27, 3, 1, 6, 
2021/8/7, 54, 21, , 1, 3, 
2021/8/8, 40, 22, , , 3, 
2021/8/9, 81, 57, 11, 1, 3, 
2021/8/10, 161, 69, 41, 1, 6, 
2021/8/11, 183, 56, 30, 1, 6, 
2021/8/12, 163, 45, 29, 1, 8, 
2021/8/13, 95, 24, 11, 1, 3, 
2021/8/14, 64, 13, , 1, 3, 
2021/8/15, 41, 18, 30, , 4, 
2021/8/16, 45, 26, 30, 1, 5, 
2021/8/17, 46, 37, 4, 1, 4, 
2021/8/18, 54, 14, 28, , 4, 
2021/8/19, 35, 20, , 1, 3, 
2021/8/20, 37, 25, 18, 1, 5, 
2021/8/21, 50, 18, , 1, 3, 
2021/8/22, 42, 11, , , 5, 
2021/8/23, 45, 14, , , 3, 
2021/8/24, 42, 15, , , 3, 
2021/8/25, 50, 19, , , 4, 
2021/8/26, 52, 21, , , 4, 
2021/8/27, 63, 20, , 1, 4, 
2021/8/28, 55, 30, , 1, 9, 
2021/8/29, 73, 29, , , 6, 
2021/8/30, 65, 32, , 1, 6, 
2021/8/31, 56, 31, , 1, 9, 
2021/9/1, 54, 29, , 1, 6, 
2021/7/2, 32, 15, 23, , 3, 
2021/7/3, 36, 26, 25, , 6, 
2021/7/4, 48, 28, 29, , 4, 
2021/7/5, 52, 30, 27, , 4, 
2021/7/6, 59, 26, 39, , 2, 
2021/7/7, 56, 25, 28, , 3, 
2021/7/8, 55, 33, 57, 1, 8, 
2021/7/9, 45, 25, 33, , 3, 
2021/7/10, 47, 27, 37, 1, 14, 
2021/7/11, 48, 16, 42, 1, 10, 
2021/7/12, 35, 16, 40, , 3, 
2021/7/13, 42, 10, 35, , 2, 
2021/7/14, 30, 11, 30, , 2, 
2021/7/15, 34, 23, 32, 1, 14, 
2021/7/16, 45, 21, 35, , 3, 
2021/7/17, 45, 16, 42, , 4, 
2021/7/18, 42, 24, 43, , 6, 
2021/7/19, 44, 26, 38, 1, 3, 
2021/7/20, 39, 25, 21, 1, 13, 
2021/7/21, 57, 14, 14, 1, 4, 
2021/7/22, 43, 13, , , 2, 
2021/7/23, 29, 30, , 1, 9, 
2021/7/24, 52, 31, , , 3, 
2021/7/25, 54, 25, , , 3, 
2021/7/26, 47, 25, , , 4, 
2021/7/27, 50, 26, 30, 1, 6, 
2021/7/28, 54, 35, 19, 1, 4, 
2021/7/29, 61, 35, 17, 1, 5, 
2021/7/30, 58, 13, 1, , 2, 
2021/7/31, 33, 29, 6, , 3, 
2021/8/1, 62, 33, 23, , 7, 
2021/6/2, 66, 15, 23, , 5, 
2021/6/3, 39, 26, 31, 1, 6, 
2021/6/4, 58, 34, 32, 1, 5, 
2021/6/5, 63, 29, 34, 1, 4, 
2021/6/6, 50, 28, 32, , 2, 
