date, pm10, o3, no2, so2, co
2021/11/2, 30, , , 1, 
2021/11/3, 26, , , 4, 
2021/11/4, 45, , , 2, 
2021/11/5, 34, , , 1, 
2021/11/6, 25, , , 3, 
2021/11/7, 29, , , 6, 
2021/11/8, 35, , , 7, 
2021/11/9, 47, , , 6, 
2021/11/10, 36, , , 5, 
2021/11/11, 59, , , 5, 
2021/11/12, 59, , , 5, 
2021/11/13, 48, , , 6, 
2021/11/14, 53, , , 5, 
2021/11/15, 45, , , 5, 
2021/11/16, 42, , , 5, 
2021/11/17, 37, , , 3, 
2021/11/18, 20, , , 7, 
2021/11/19, 36, , , , 
2021/10/2, 28, , , 4, 
2021/10/3, 25, , , 1, 
2021/10/4, 13, , , 6, 
2021/10/5, 33, , , 1, 
2021/10/6, 28, , , 3, 
2021/10/7, 24, , , , 
2021/10/8, 26, , , , 
2021/10/9, 22, , , , 
2021/10/11, 18, , , 4, 
2021/10/12, 20, , , 1, 
2021/10/13, 26, , , 3, 
2021/10/14, 40, , , 6, 
2021/10/15, 28, , , 2, 
2021/10/16, 16, , , 2, 
2021/10/17, 35, , , 7, 
2021/10/18, 32, , , 3, 
2021/10/19, 30, , , 2, 
2021/10/20, 34, , , 2, 
2021/10/21, 38, , , 2, 
2021/10/22, 35, , , 1, 
2021/10/23, 38, , , 3, 
2021/10/24, 37, , , 3, 
2021/10/25, 42, , , 4, 
2021/10/26, 45, , , 4, 
2021/10/27, 40, , , 3, 
2021/10/28, 45, , , 4, 
2021/10/29, 40, , , 2, 
2021/10/30, 39, , , 3, 
2021/10/31, 33, , , 1, 
2021/11/1, 33, , , 2, 
2021/9/2, 29, , , 1, 
2021/9/3, 20, , , , 
2021/9/4, 26, , , , 
2021/9/5, 12, , , , 
2021/9/6, 16, , , 1, 
2021/9/7, 17, , , , 
2021/9/8, 22, , , 1, 
2021/9/9, 20, , , 4, 
2021/9/10, 33, , , 2, 
2021/9/11, 29, , , , 
2021/9/12, 26, , , , 
2021/9/13, 18, , , , 
2021/9/14, 20, , , , 
2021/9/15, 24, , , 1, 
2021/9/16, 26, , , 1, 
2021/9/17, 30, , , , 
2021/9/18, 29, , , 3, 
2021/9/19, 34, , , , 
2021/9/20, 22, , , 1, 
2021/9/21, 24, , , , 
2021/9/22, 16, , , , 
2021/9/23, 29, , , 1, 
2021/9/24, 26, , , , 
2021/9/25, 28, , , , 
2021/9/26, 32, , , 4, 
2021/9/27, 29, , , , 
2021/9/28, 20, , , 1, 
2021/9/29, 16, , , 2, 
2021/9/30, 23, , , 4, 
2021/10/1, 28, , , 4, 
2021/8/2, 40, , 6, 2, 
2021/8/3, 26, , 9, 2, 
2021/8/4, 24, , 5, 9, 
2021/8/5, 51, , 8, 6, 
2021/8/6, 67, , 7, 1, 
2021/8/7, 26, , 6, 3, 
2021/8/8, 27, , 4, 3, 
2021/8/9, 35, , 7, 9, 
2021/8/10, 66, , 11, 11, 
2021/8/11, 88, , 9, 6, 
2021/8/12, 66, , 6, 3, 
2021/8/13, 53, , 8, 1, 
2021/8/14, 24, , 6, , 
2021/8/15, 19, , 5, 1, 
2021/8/16, 15, , 5, 1, 
2021/8/17, 22, , 6, , 
2021/8/18, 30, , 5, , 
2021/8/19, 21, , , 1, 
2021/8/20, 15, , , 2, 
2021/8/21, 25, , , , 
2021/8/22, 22, , , 1, 
2021/8/23, 9, , , , 
2021/8/24, 17, , , 1, 
2021/8/25, 14, , , 1, 
2021/8/26, 18, , , 1, 
2021/8/27, 22, , , , 
2021/8/28, 18, , , , 
2021/8/29, 27, , , 1, 
2021/8/30, 23, , , , 
2021/8/31, 32, , , 1, 
2021/9/1, 31, , , 2, 
2021/7/2, 18, , 5, 1, 
2021/7/3, 24, , 7, 2, 
2021/7/4, 45, , 5, 2, 
2021/7/5, 44, , 7, 2, 
2021/7/6, 53, , 7, 2, 
2021/7/7, 55, , 7, 6, 
2021/7/8, 59, , 7, 3, 
2021/7/9, 66, , 5, 2, 
2021/7/10, 60, , 8, 3, 
2021/7/11, 59, , 5, 2, 
2021/7/12, 43, , 3, 1, 
2021/7/13, 61, , 3, 1, 
2021/7/14, 52, , , 2, 
2021/7/15, 20, , , 3, 
2021/7/16, 40, , , , 
2021/7/17, 64, , , 1, 
2021/7/18, 31, , , 2, 
2021/7/19, 66, , 9, 1, 
2021/7/20, 60, , 7, 2, 
2021/7/21, 65, , 7, 1, 
2021/7/22, 67, , 5, 1, 
2021/7/23, 25, , 8, 2, 
2021/7/24, 41, , 6, 6, 
2021/7/25, 34, , 5, 5, 
2021/7/26, 29, , 5, , 
2021/7/27, 28, , 7, 2, 
2021/7/28, 33, , 6, 2, 
2021/7/29, 41, , 6, 1, 
2021/7/30, 32, , 4, 1, 
2021/7/31, 22, , 4, 2, 
2021/8/1, 24, , 5, 4, 
2021/6/2, 5, , 4, 2, 
2021/6/3, 2, , 8, 3, 
2021/6/4, 3, , 10, 12, 
2021/6/5, 14, , 4, 15, 
2021/6/6, 58, , 3, 10, 
2021/6/7, 43, , 4, 7, 
2021/6/8, 23, , 6, 16, 
2021/6/9, 16, , 7, 4, 
2021/6/10, 29, , 8, 2, 
2021/6/11, 49, , 6, 2, 
2021/6/12, 47, , 9, 6, 
2021/6/13, 51, , 6, 2, 
2021/6/14, 44, , 9, 4, 
2021/6/15, 45, , 8, , 
2021/6/16, 23, , 5, 1, 
2021/6/17, 29, , 4, , 
2021/6/18, 36, , 7, 1, 
2021/6/19, 41, , 8, 1, 
2021/6/20, 55, , 7, 3, 
2021/6/21, 60, , 5, , 
2021/6/22, 64, , 7, 1, 
2021/6/23, 52, , 8, 3, 
2021/6/24, 45, , 7, 2, 
2021/6/25, 67, , 6, 2, 
2021/6/26, 69, , 6, 3, 
2021/6/27, 67, , 7, 2, 
2021/6/29, 60, , 3, 1, 
2021/6/30, 14, , 4, 1, 
2021/7/1, 24, , 4, 1, 
2021/5/2, 59, 13, 3, 4, 
2021/5/3, 259, 13, 2, 2, 
2021/5/4, 63, 14, 5, 2, 
2021/5/5, 28, 11, 6, 4, 
2021/5/6, 53, 11, 5, 2, 
2021/5/7, 38, 15, 7, 3, 
2021/5/8, 48, 11, 9, 10, 
2021/5/9, 42, 12, 9, 5, 
2021/5/10, 42, 5, 11, 3, 
2021/5/11, 60, , , , 
2021/5/24, 33, 8, 7, 6, 
2021/5/25, 36, 11, 6, 2, 
2021/5/26, 23, 9, 6, 5, 
2021/5/27, 25, 8, 6, 2, 
2021/5/28, 20, , 9, 3, 
2021/5/29, 43, , 7, 2, 
2021/5/30, 28, , 7, 2, 
2021/5/31, 13, , 5, 2, 
2021/6/1, 2, , 5, 1, 
2021/4/2, 50, 7, 8, 11, 
2021/4/3, 41, 9, 5, 3, 
2021/4/4, 91, 6, 6, 6, 
2021/4/5, 53, 8, 6, 5, 
2021/4/6, 60, 8, 8, 6, 
2021/4/7, 60, 8, 10, 8, 
2021/4/8, 59, 8, 8, 4, 
2021/4/9, 76, 10, 9, 3, 
2021/4/10, 76, 12, 7, 7, 
2021/4/11, 52, 12, 3, 3, 
2021/4/12, 62, 10, 6, 7, 
2021/4/13, 39, 11, 7, 5, 
2021/4/14, 43, 9, 7, 8, 
2021/4/15, 46, 11, 5, 8, 
2021/4/16, 37, 11, 4, 7, 
2021/4/17, 40, 12, 6, 7, 
2021/4/18, 42, 11, 6, 6, 
2021/4/19, 50, 12, 5, 2, 
2021/4/20, 53, 9, 7, 8, 
2021/4/21, 72, 11, 5, 5, 
2021/4/22, 67, 9, 7, 11, 
2021/4/23, 58, 10, 6, 14, 
2021/4/24, 66, 12, 1, 1, 
2021/4/25, 169, 11, 6, 4, 
2021/4/26, 61, 12, 3, 3, 
2021/4/27, 65, 12, 5, 4, 
2021/4/28, 42, 14, 4, 5, 
2021/4/29, 47, 12, 5, 3, 
2021/4/30, 35, 13, 3, 1, 
2021/5/1, 18, 15, 3, 1, 
2021/3/2, 55, 5, 10, 12, 
2021/3/3, 64, 4, 10, 21, 
2021/3/4, 82, 9, 7, 7, 
2021/3/5, 38, 7, 8, 9, 
2021/3/6, 38, 7, 8, 12, 
2021/3/7, 47, 7, 7, 9, 
2021/3/8, 50, 6, 8, 12, 
2021/3/9, 56, 8, 7, 6, 
2021/3/10, 44, 7, 9, 8, 
2021/3/11, 58, 7, 7, 5, 
2021/3/12, 48, 9, 7, 4, 
2021/3/13, 64, 8, 8, 4, 
2021/3/14, 69, 13, 7, 14, 
2021/3/15, 143, 13, 6, 12, 
2021/3/16, 53, 8, 7, 7, 
2021/3/17, 60, 10, 4, 5, 
2021/3/18, 53, 11, 3, 4, 
2021/3/19, 125, 12, 5, 3, 
2021/3/20, 35, 11, 5, 11, 
2021/3/21, 46, 8, 7, 17, 
2021/3/22, 62, 6, 11, 15, 
2021/3/23, 79, 7, 11, 12, 
2021/3/24, 75, 7, 8, 8, 
2021/3/25, 72, 10, 5, 5, 
2021/3/26, 87, 9, 8, 8, 
2021/3/27, 60, 11, 4, 7, 
2021/3/28, 125, 11, 6, 12, 
2021/3/29, 52, 8, 7, 10, 
2021/3/30, 129, 10, 7, 9, 
2021/3/31, 70, 8, 7, 8, 
2021/4/1, 71, 8, 6, 5, 
2021/2/2, 37, 2, , 38, 
2021/2/3, 81, 5, , 20, 
2021/2/4, 60, 2, , 32, 
2021/2/5, 87, 5, , 25, 
2021/2/6, 68, 6, , 8, 
2021/2/7, 31, 4, , 12, 
2021/2/8, 56, 1, , 20, 
2021/2/9, 68, , , 17, 
2021/2/10, 62, 4, 11, 12, 
2021/2/11, 36, 9, , 15, 
2021/2/12, 49, 11, , 10, 
2021/2/13, 41, 9, 6, 10, 
2021/2/14, 30, 10, 5, 14, 
2021/2/15, 40, 10, 6, 17, 
2021/2/16, 63, 9, 6, 14, 
2021/2/17, 51, 5, 11, 30, 
2021/2/18, 57, 5, 12, 26, 
2021/2/19, 64, 8, 7, 16, 
2021/2/20, 48, 4, 11, 23, 
2021/2/21, 67, 11, 4, 7, 
2021/2/22, 36, 8, 6, 16, 
2021/2/23, 41, 6, 7, 12, 
2021/2/24, 46, 6, 8, 11, 
2021/2/25, 54, 6, 9, 11, 
2021/2/26, 59, 11, 6, 7, 
2021/2/27, 110, 9, 6, 9, 
2021/2/28, 46, 8, 6, 13, 
2021/3/1, 44, 8, 6, 6, 
2021/1/5, 31, 9, , 24, 
2021/1/6, 67, 7, , 14, 
2021/1/7, 44, 6, , 30, 
2021/1/8, 59, 7, , 23, 
2021/1/9, 49, 4, , 31, 
2021/1/10, 67, 3, , 32, 
2021/1/11, 70, 1, , 42, 
2021/1/12, 80, 4, , 35, 
2021/1/13, 74, 6, , 10, 
2021/1/14, 37, 6, , 15, 
2021/1/15, 47, 3, , 23, 
2021/1/16, 62, 4, , 43, 
2021/1/17, 81, 5, , 40, 
2021/1/18, 77, 1, , 35, 
2021/1/19, 75, 4, , 16, 
2021/1/20, 54, , , 39, 
2021/1/21, 88, 1, , 37, 
2021/1/22, 89, 5, , 15, 
2021/1/23, 51, 5, , 11, 
2021/1/24, 42, 5, , 14, 
2021/1/25, 45, 6, , 10, 
2021/1/26, 51, 5, , 24, 
2021/1/27, 62, 5, , 32, 
2021/1/28, 65, 2, , 40, 
2021/1/29, 79, 6, , 30, 
2021/1/30, 72, 3, , 34, 
2021/1/31, 73, 7, , 17, 
2021/2/1, 50, 6, , 13, 
2020/10/2, 23, 7, , 2, 
2020/10/3, 44, 9, , 1, 
2020/10/4, 36, 5, , 3, 
2020/10/5, 49, 6, , 4, 
2020/10/6, 56, 7, , 1, 
2020/10/7, 57, 7, , 2, 
2020/10/8, 51, 16, , 2, 
2020/10/9, 99, 9, , 1, 
2020/10/10, 48, 8, , 2, 
2020/10/11, 60, 5, , 8, 
2020/10/12, 62, 7, , 2, 
2020/10/13, 61, 6, , 3, 
2020/10/14, 60, 7, , 4, 
2020/10/15, 64, 7, , 4, 
2020/10/16, 75, 4, , 5, 
2020/10/17, 73, 5, , 7, 
2020/10/18, 71, 6, , 3, 
2020/10/19, 70, 4, , 3, 
2020/10/20, 78, 8, , 1, 
2020/10/21, 81, 7, , 3, 
2020/10/22, 61, 5, , 4, 
2020/10/23, 72, 4, , 3, 
2020/10/24, 71, 4, , 2, 
2020/10/25, 71, 6, , 3, 
2020/10/26, 68, 7, , 5, 
2020/10/27, 59, 5, , 10, 
2020/10/28, 80, 4, , 6, 
2020/10/29, 78, 4, , 8, 
2020/10/30, 80, 5, , 7, 
2020/10/31, 83, 7, , 3, 
2020/11/1, 32, 6, , 4, 
2020/11/2, 46, 4, , 7, 
2020/11/3, 49, 4, , 5, 
2020/11/4, 54, 2, , 7, 
2020/11/5, 74, 8, , 7, 
2020/11/6, 65, 8, , 9, 
2020/11/7, 62, 9, , 3, 
2020/11/8, 43, 4, , 7, 
2020/11/9, 59, 2, , 6, 
2020/11/10, 71, 4, , 3, 
2020/11/11, 64, 6, , 6, 
2020/11/12, 85, 5, , 2, 
2020/11/13, 65, 5, , 5, 
2020/11/14, 62, 4, , 7, 
2020/11/15, 54, 7, , 3, 
2020/11/16, 52, 9, , 4, 
2020/11/17, 45, 5, , 3, 
2020/11/18, 46, 9, , 3, 
2020/11/19, 42, 11, , , 
2020/11/20, 43, 7, , 2, 
2020/11/21, 33, 6, , 8, 
2020/11/22, 53, 4, , 18, 
2020/11/23, 56, 3, , 20, 
2020/11/24, 62, 1, , 16, 
2020/11/25, 67, 3, , 9, 
2020/11/26, 44, 6, , 5, 
2020/11/27, 38, 5, , 2, 
2020/11/28, 27, 5, , 7, 
2020/12/4, 25, 3, , 28, 
2020/12/5, 69, 4, , 20, 
2020/12/6, 65, 4, , 18, 
2020/12/7, 43, 3, , 32, 
2020/12/8, 74, 4, , 23, 
2020/12/9, 59, 1, , 48, 
2020/12/10, 86, 4, , 34, 
2020/12/15, 60, 1, , 23, 
2020/12/16, 68, 1, , 32, 
2020/12/17, 76, 2, , 22, 
2020/12/18, 71, 3, , 20, 
2020/12/19, 59, 2, , 25, 
2020/12/20, 73, 3, , 23, 
2020/12/21, 60, 3, , 29, 
2020/12/22, 65, 4, , 29, 
2020/12/23, 64, 6, , 14, 
2020/12/24, 43, 1, , 24, 
2020/12/25, 65, 2, , 26, 
2020/12/26, 70, 1, , 32, 
2020/12/27, 73, 5, , 17, 
2020/12/28, 52, 7, , 6, 
2020/12/29, 26, 6, , 15, 
2020/12/30, 42, 7, , 17, 
2020/12/31, 45, 4, , 19, 
2021/1/1, 54, 5, , 23, 
2021/1/2, 59, 6, , 16, 
2021/1/3, 38, 5, , 18, 
2021/1/4, 56, 5, , 31, 
2020/7/2, 160, 15, , 1, 
2020/7/3, 81, 11, , 1, 
2020/7/4, 118, 12, , 1, 
2020/7/5, 47, 15, , 1, 
2020/7/6, 48, 12, , 1, 
2020/7/7, 45, 17, , , 
2020/7/8, 52, 12, , , 
2020/7/9, 54, 15, , , 
2020/7/10, 38, 8, , , 
2020/7/11, 13, 8, , , 
2020/7/12, 20, 10, , , 
2020/7/13, 27, 11, , 1, 
2020/7/14, 25, 12, , , 
2020/7/15, 24, 15, , , 
2020/7/16, 24, 9, , , 
2020/7/17, 26, 12, , , 
2020/7/18, 18, 12, , 1, 
2020/7/19, 33, 12, , , 
2020/7/20, 33, 8, , 2, 
2020/7/21, 49, 15, , 1, 
2020/7/22, 37, 24, , , 
2020/7/23, 4, 22, , 1, 
2020/7/24, 3, 11, , 4, 
2020/7/25, 4, 6, , 1, 
2020/7/26, 4, 8, , 1, 
2020/7/27, 2, 11, , 1, 
2020/7/28, 3, 12, , , 
2020/7/29, 4, 14, , 1, 
2020/7/30, 3, 11, , 1, 
2020/7/31, 4, 15, , , 
2020/8/1, 3, 17, , , 
2020/8/2, 3, 6, , , 
2020/8/3, 3, 5, , , 
2020/8/4, 3, 5, , 3, 
2020/8/5, 4, 9, , 1, 
2020/8/6, 5, 15, , 1, 
2020/8/7, 36, 10, , 1, 
2020/8/8, 44, 10, , 1, 
2020/8/9, 47, 9, , , 
2020/8/10, 36, 11, , , 
2020/8/11, 42, 13, , 1, 
2020/8/12, 56, 9, , , 
2020/8/13, 49, 10, , 1, 
2020/8/14, 28, 11, , 1, 
2020/8/15, 43, 9, , 2, 
2020/8/16, 53, 7, , 1, 
2020/8/17, 25, 7, , , 
2020/8/18, 26, 8, , 4, 
2020/8/19, 44, 13, , , 
2020/8/20, 56, 14, , , 
2020/8/21, 33, 12, , 1, 
2020/8/22, 52, 8, , 3, 
2020/8/23, 53, 11, , 3, 
2020/8/24, 54, 10, , 2, 
2020/8/25, 58, 11, , 1, 
2020/8/26, 33, 9, , , 
2020/8/27, 38, 11, , , 
2020/8/28, 25, 7, , , 
2020/8/29, 30, 7, , , 
2020/8/30, 34, 6, , , 
2020/8/31, 25, 5, , 1, 
2020/9/1, 21, 9, , 1, 
2020/9/2, 38, 7, , 3, 
2020/9/3, 47, 6, , 1, 
2020/9/4, 50, 7, , 2, 
2020/9/5, 53, 9, , 1, 
2020/9/6, 48, 11, , , 
2020/9/7, 29, 8, , , 
2020/9/8, 35, 8, , , 
2020/9/9, 43, 11, , , 
2020/9/10, 40, 18, , , 
2020/9/11, 61, 18, , , 
2020/9/12, 168, 19, , , 
2020/9/13, 85, 10, , , 
2020/9/14, 28, 6, , , 
2020/9/15, 22, 6, , , 
2020/9/16, 20, 5, , 1, 
2020/9/17, 46, 7, , 2, 
2020/9/18, 53, 6, , 3, 
2020/9/19, 57, 7, , 1, 
2020/9/20, 61, 11, , 1, 
2020/9/21, 53, 5, , 4, 
2020/9/22, 61, 8, , 1, 
2020/9/23, 67, 6, , 1, 
2020/9/24, 71, 8, , 1, 
2020/9/25, 57, 12, , 1, 
2020/9/26, 81, 6, , 6, 
2020/9/27, 60, 6, , 3, 
2020/9/28, 60, 7, , 2, 
2020/9/29, 54, 7, , 2, 
2020/9/30, 63, 6, , 1, 
2020/10/1, 30, 8, , 1, 
2020/4/2, 56, 6, , 10, 
2020/4/3, 56, 7, , 4, 
2020/4/4, 55, 8, , 6, 
2020/4/5, 56, 9, , 5, 
2020/4/6, 49, 13, , 2, 
2020/4/7, 87, 13, , , 
2020/4/8, 81, 7, , 3, 
2020/4/9, 59, 8, , 4, 
2020/4/10, 52, 8, , 3, 
2020/4/11, 67, 14, , , 
2020/4/12, 57, 12, , , 
2020/4/13, 61, 8, , 5, 
2020/4/14, 71, 10, , 1, 
2020/4/15, 56, 9, , 2, 
2020/4/16, 42, 8, , 4, 
2020/4/17, 56, 11, , 1, 
2020/4/18, 63, 11, , 3, 
2020/4/19, 61, 12, , , 
2020/4/20, 54, 10, , 5, 
2020/4/21, 51, 10, , 8, 
2020/4/22, 48, 10, , 2, 
2020/4/23, 43, 8, , 7, 
2020/4/24, 67, 13, , 12, 
2020/4/25, 101, 13, , 2, 
2020/4/26, 57, 11, , 3, 
2020/4/27, 61, 10, , 4, 
2020/4/28, 73, 11, , 4, 
2020/4/29, 75, 10, , 4, 
2020/4/30, 79, 10, , 2, 
2020/5/1, 74, 10, , 10, 
2020/5/2, 87, 8, , 1, 
2020/5/3, 41, 10, , 4, 
2020/5/4, 57, 10, , 4, 
2020/5/5, 62, 13, , , 
2020/5/6, 71, 10, , 2, 
2020/5/7, 78, 11, , 1, 
2020/5/8, 36, 9, , 3, 
2020/5/9, 69, 10, , 1, 
2020/5/10, 46, 10, , 1, 
2020/5/11, 31, 15, , 2, 
2020/5/12, 90, 9, , 6, 
2020/5/13, 49, 11, , 7, 
2020/5/14, 60, 12, , 3, 
2020/5/15, 67, 9, , , 
2020/5/16, 93, 9, , , 
2020/5/17, 45, 9, , 1, 
2020/5/18, 35, 10, , 2, 
2020/5/19, 55, 11, , 2, 
2020/5/20, 57, 6, , 2, 
2020/5/21, 45, 8, , , 
2020/5/22, 17, 8, , 1, 
2020/5/23, 19, 10, , 2, 
2020/5/24, 32, 12, , 1, 
2020/5/25, 46, 12, , , 
2020/5/26, 33, 11, , 1, 
2020/5/27, 55, 10, , 2, 
2020/5/28, 60, 8, , 1, 
2020/5/29, 73, 4, , 1, 
2020/5/30, 20, 9, , , 
2020/5/31, 18, 8, , 2, 
2020/6/1, 34, 9, , 2, 
2020/6/2, 47, 12, , 1, 
2020/6/3, 49, 9, , 6, 
2020/6/4, 50, 10, , 2, 
2020/6/5, 58, 12, , 1, 
2020/6/6, 56, 11, , 2, 
2020/6/7, 59, 13, , , 
2020/6/8, 43, 8, , 1, 
2020/6/9, 42, 9, , 3, 
2020/6/10, 41, 11, , 2, 
2020/6/11, 53, 10, , 1, 
2020/6/12, 41, 9, , 1, 
2020/6/13, 38, 13, , , 
2020/6/14, 36, 11, , 2, 
2020/6/15, 57, 14, , 1, 
2020/6/16, 82, 16, , 1, 
2020/6/17, 119, 13, , 1, 
2020/6/18, 143, 11, , , 
2020/6/19, 67, 14, , 2, 
2020/6/20, 113, 12, , 4, 
2020/6/21, 137, 6, , 2, 
2020/6/22, 59, 10, , , 
2020/6/23, 87, 16, , , 
2020/6/24, 115, 12, , , 
2020/6/25, 86, 9, , 1, 
2020/6/26, 124, 13, , 1, 
2020/6/27, 116, 15, , 3, 
2020/6/28, 89, 14, , 1, 
2020/6/29, 68, 12, , , 
2020/6/30, 82, 15, , , 
2020/7/1, 113, 11, , 1, 
2020/1/2, 59, , , 12, 
2020/1/3, 62, , , 11, 
2020/1/4, 68, , , 7, 
2020/1/5, 43, , , 8, 
2020/1/6, 43, , , 6, 
2020/1/7, 53, , , 5, 
2020/1/8, 46, , , 3, 
2020/1/9, 34, , , 5, 
2020/1/10, 44, , , 6, 
2020/1/11, 52, , , 5, 
2020/1/12, 52, , , 12, 
2020/1/13, 72, , , 9, 
2020/1/14, 60, 1, , 11, 
2020/1/15, 62, 2, , 11, 
2020/1/16, 59, 4, , 11, 
2020/1/17, 50, 2, , 12, 
2020/1/18, 66, 3, , 13, 
2020/1/19, 78, 4, , 13, 
2020/1/20, 70, 5, , 4, 
2020/1/21, 37, 1, , 10, 
2020/1/22, 72, 4, , 11, 
2020/1/23, 57, 3, , 10, 
2020/1/24, 71, 4, , 8, 
2020/1/25, 54, 6, , 7, 
2020/1/26, 52, 8, , 3, 
2020/1/27, 38, 7, , 4, 
2020/1/28, 48, 9, , 5, 
2020/1/29, 45, 9, , 3, 
2020/1/30, 25, 7, , 7, 
2020/1/31, 43, 5, , 5, 
2020/2/1, 45, 6, , 6, 
2020/2/2, 50, 6, , 9, 
2020/2/3, 56, 5, , 9, 
2020/2/4, 58, 6, , 7, 
2020/2/5, 59, 7, , 5, 
2020/2/6, 41, 2, , 9, 
2020/2/7, 73, 2, , 10, 
2020/2/8, 77, 3, , 10, 
2020/2/9, 69, 4, , 10, 
2020/2/10, 69, 6, , 8, 
2020/2/11, 61, 3, , 8, 
2020/2/12, 65, 9, , 6, 
2020/2/13, 50, 11, , 1, 
2020/2/14, 34, 8, , 3, 
2020/2/15, 31, 5, , 7, 
2020/2/16, 59, 5, , 11, 
2020/2/17, 64, 4, , 11, 
2020/2/18, 65, 4, , 12, 
2020/2/19, 71, 8, , 7, 
2020/2/20, 46, 9, , 6, 
2020/2/21, 31, 7, , 3, 
2020/2/22, 38, 7, , 8, 
2020/2/23, 45, 7, , 15, 
2020/2/24, 64, 9, , 9, 
2020/2/25, 39, 11, , 3, 
2020/2/26, 18, 11, , 3, 
2020/2/27, 24, 9, , 3, 
2020/2/28, 30, 9, , 2, 
2020/2/29, 35, 9, , 6, 
2020/3/1, 41, 7, , 5, 
2020/3/2, 42, 9, , 2, 
2020/3/3, 22, 6, , 4, 
2020/3/4, 27, 9, , 5, 
2020/3/5, 38, 8, , 5, 
2020/3/6, 34, 8, , 6, 
2020/3/7, 48, 8, , 8, 
2020/3/8, 49, 9, , 4, 
2020/3/9, 33, 8, , 4, 
2020/3/10, 45, 9, , 6, 
2020/3/11, 35, 9, , 7, 
2020/3/12, 47, 8, , 3, 
2020/3/13, 37, 8, , 6, 
2020/3/14, 49, 10, , 11, 
2020/3/15, 56, 9, , 7, 
2020/3/16, 43, 9, , 4, 
2020/3/17, 40, 8, , 7, 
2020/3/18, 57, 10, , 4, 
2020/3/19, 41, 8, , 4, 
2020/3/20, 29, 8, , 5, 
2020/3/21, 32, 8, , 6, 
2020/3/22, 37, 9, , 4, 
2020/3/23, 41, 7, , 3, 
2020/3/24, 43, 10, , 5, 
2020/3/25, 69, 10, , 1, 
2020/3/26, 42, , , , 
2019/10/2, 18, 4, , , 
2019/10/3, 33, 6, , , 
2019/10/4, 22, 5, , 4, 
2019/10/5, 50, 8, , 1, 
2019/10/6, 75, 8, , 5, 
2019/10/7, 76, 11, , 2, 
2019/10/8, 57, 8, , 2, 
2019/10/9, 78, 9, , 2, 
2019/10/10, 85, 10, , 3, 
2019/10/11, 48, 7, , 4, 
2019/10/12, 53, 9, , 2, 
2019/10/13, 58, 8, , 2, 
2019/10/14, 59, 7, , 3, 
2019/10/15, 84, 5, , 4, 
2019/10/16, 97, 9, , 2, 
2019/10/17, 90, 8, , 2, 
2019/10/18, 77, 9, , 2, 
2019/10/19, 84, 10, , 2, 
2019/10/20, 68, 8, , 1, 
2019/10/21, 34, 5, , 2, 
2019/10/22, 70, 4, , 4, 
2019/10/23, 66, 8, , 1, 
2019/10/24, 39, 6, , 2, 
2019/10/25, 65, 5, , 3, 
2019/10/26, 85, 7, , 11, 
2019/10/27, 94, 8, , 4, 
2019/10/28, 75, 6, , 3, 
2019/10/29, 62, 6, , 5, 
2019/10/30, 86, 5, , 6, 
2019/10/31, 86, 4, , 4, 
2019/11/1, 79, 5, , 3, 
2019/11/2, 83, 4, , 3, 
2019/11/3, 88, 6, , 1, 
2019/11/4, 68, 9, , 2, 
2019/11/5, 63, 6, , 3, 
2019/11/6, 72, 9, , 3, 
2019/11/7, 61, 4, , 4, 
2019/11/8, 65, 5, , 4, 
2019/11/9, 56, 8, , 2, 
2019/11/10, 50, 8, , 3, 
2019/11/11, 26, 3, , 2, 
2019/11/15, 57, 7, , 5, 
2019/11/16, 32, 9, , 3, 
2019/11/17, 41, 11, , 2, 
2019/11/18, 32, 6, , 7, 
2019/11/19, 56, 6, , 6, 
2019/11/20, 46, 7, , 6, 
2019/11/21, 47, 7, , 4, 
2019/11/22, 42, 6, , 3, 
2019/11/23, 43, 4, , 6, 
2019/11/24, 63, 5, , 10, 
2019/11/25, 64, 5, , 8, 
2019/11/26, 60, 5, , 8, 
2019/11/27, 68, 6, , 5, 
2019/11/28, 54, 6, , 5, 
2019/11/29, 52, 6, , 5, 
2019/11/30, 35, 8, , 6, 
2019/12/1, 43, 7, , 8, 
2019/12/2, 30, 8, , 12, 
2019/12/3, 34, 8, , 7, 
2019/12/4, 50, 2, , 14, 
2019/12/5, 82, 7, , 4, 
2019/12/6, 56, 3, , 6, 
2019/12/7, 65, 6, , 5, 
2019/12/9, 77, 3, , 9, 
2019/12/11, 23, 2, , 6, 
2019/12/12, 45, , , 10, 
2019/12/13, 70, , , 12, 
2019/12/14, 75, , , 6, 
