date, pm25, pm10, o3, no2, so2, co
2021/11/2, 158, 112, 18, 5, 10, 
2021/11/3, 132, 123, 4, 12, 25, 
2021/11/4, 215, 126, 2, 9, 20, 
2021/11/5, 190, 152, 4, 14, 33, 
2021/11/6, 245, 140, 8, 8, 20, 
2021/11/7, 183, 114, 12, 9, 32, 
2021/11/8, 191, 107, 12, 7, 24, 
2021/11/9, 178, 93, 14, 7, 22, 
2021/11/10, 165, 112, 14, 11, 35, 
2021/11/11, 192, 130, 12, 11, 34, 
2021/11/12, 197, 107, 12, 10, 27, 
2021/11/13, 204, 115, 15, 8, 24, 
2021/11/14, 175, 123, 13, 10, 27, 
2021/11/15, 186, 128, 9, 12, 27, 
2021/11/16, 196, 125, 10, 10, 32, 
2021/11/17, 196, 106, 18, 4, 14, 
2021/11/18, 146, 104, 10, 7, 22, 
2021/11/19, 161, , , , , 
2021/10/26, 135, 155, 29, 10, 7, 
2021/10/27, 189, 112, 14, 10, 18, 
2021/10/28, 173, 117, 14, 10, 15, 
2021/10/29, 192, 62, 12, 5, 15, 
2021/10/30, 126, 132, 17, 7, 6, 
2021/10/31, 168, 89, 16, 6, 13, 
2021/11/1, 149, 106, 20, 7, 10, 
2021/9/2, 50, , 30, 1, 2, 
2021/6/2, 46, 11, 23, 1, 3, 
2021/6/3, 25, 26, 33, 2, 5, 
2021/6/4, 42, 46, 34, 6, 5, 
2021/6/5, 66, 42, 38, 4, 5, 
2021/6/6, 55, 33, 35, 1, 3, 
2021/6/7, 34, , 18, , 3, 
2021/6/18, 19, 20, 27, 1, 4, 
2021/6/19, 30, 38, 29, 5, 6, 
2021/6/20, 58, 42, 32, 5, 9, 
2021/6/21, 60, 34, 35, 3, 8, 
2021/6/22, 55, 27, 33, 5, 5, 
2021/6/23, 43, 23, 40, 5, 4, 
2021/6/24, 44, 37, 30, 5, 6, 
2021/6/25, 46, 32, 28, 4, 6, 
2021/6/26, 43, , 37, 5, 5, 
