date, pm25, pm10, o3, no2, so2, co
2021/11/2, 98, 30, 10, , , 
2021/11/3, 90, 56, , , , 
2021/11/4, 148, 56, 3, , , 
2021/11/5, 138, 50, 8, , , 
2021/11/6, 126, 43, 7, , , 
2021/11/7, 130, 52, 8, , , 
2021/11/8, 147, 57, 6, , , 
2021/11/9, 157, 48, 7, , , 
2021/11/10, 136, 53, 7, , , 
2021/11/11, 151, 52, 5, , , 
2021/11/12, 148, 55, 6, , , 
2021/11/13, 152, 53, 8, , , 
2021/11/14, 144, 51, 6, , , 
2021/11/15, 143, 54, 1, , , 
2021/11/16, 149, 49, 1, , , 
2021/11/17, 136, 43, 10, , , 
2021/11/18, 112, 44, 4, , , 
2021/11/19, 138, , , , , 
2021/10/2, 75, 12, 19, , , 
2021/10/3, 35, 14, 15, , , 
2021/10/4, 50, 27, 12, , , 
2021/10/5, 89, 20, 15, , , 
2021/10/6, 48, 23, 14, , , 
2021/10/7, 68, 20, 13, , , 
2021/10/8, 65, 14, 8, , , 
2021/10/9, 63, , , , , 
2021/10/11, 88, 28, 10, , , 
2021/10/12, 88, 35, 14, , , 
2021/10/13, 98, 34, 12, , , 
2021/10/14, 106, 32, , , , 
2021/10/15, 101, 38, 11, , , 
2021/10/16, 122, 35, 11, , , 
2021/10/17, 109, 27, 15, , , 
2021/10/18, 88, 33, 14, , , 
2021/10/19, 106, 42, 8, , , 
2021/10/20, 120, 45, 14, , , 
2021/10/21, 126, 40, 10, , , 
2021/10/22, 121, 39, 9, , , 
2021/10/23, 111, 40, 8, , , 
2021/10/24, 109, 45, 6, , , 
2021/10/25, 125, 41, 11, , , 
2021/10/26, 118, 43, 8, , , 
2021/10/27, 124, 47, 5, , , 
2021/10/28, 124, 44, 6, , , 
2021/10/29, 120, 31, 13, , , 
2021/10/30, 68, 39, 9, , , 
2021/10/31, 117, 34, 9, , , 
2021/11/1, 100, 32, 9, , , 
2021/9/2, 38, 7, 22, , , 
2021/9/3, 32, 8, 17, , , 
2021/9/4, 30, 7, 17, , , 
2021/9/5, 29, 8, 17, , , 
2021/9/6, 35, 7, 17, , , 
2021/9/7, 30, 5, 18, , , 
2021/9/8, 23, 12, 17, , , 
2021/9/9, 39, 14, 16, , , 
2021/9/10, 50, 12, 20, , , 
2021/9/11, 38, 8, 13, , , 
2021/9/12, 34, 9, 20, , , 
2021/9/13, 34, 9, 19, , , 
2021/9/14, 30, 9, 17, , , 
2021/9/15, 36, 7, 17, , , 
2021/9/16, 35, 13, 19, , , 
2021/9/17, 38, 17, 20, , , 
2021/9/18, 47, 13, 25, , , 
2021/9/19, 38, 12, 10, , , 
2021/9/20, 51, 12, 14, , , 
2021/9/21, 51, 9, 17, , , 
2021/9/22, 39, 12, 17, , , 
2021/9/23, 36, 11, 19, , , 
2021/9/24, 42, 17, 17, , , 
2021/9/25, 44, 7, 23, , , 
2021/9/26, 31, , 12, , , 
2021/9/29, 36, 11, 11, , , 
2021/9/30, 47, , , , , 
2021/8/2, 73, 12, 16, , , 
2021/8/3, 52, 7, 17, , , 
2021/8/4, 36, 33, 18, , , 
2021/8/5, 126, 39, 17, , , 
2021/8/6, 123, 15, 24, , , 
2021/8/7, 45, 8, 29, , , 
2021/8/8, 25, 16, 19, , , 
2021/8/9, 71, 35, 21, , , 
2021/8/10, 132, 55, 29, , , 
2021/8/11, 170, 38, 23, , , 
2021/8/12, 144, 23, 33, , , 
2021/8/13, 78, 12, 22, , , 
2021/8/14, 47, 5, 23, , , 
2021/8/15, 22, , 24, , , 
2021/8/20, 30, 11, 20, , , 
2021/8/21, 35, 8, 22, , , 
2021/8/22, 25, 5, 15, , , 
2021/8/23, 27, 3, 15, , , 
2021/8/24, 16, 6, 13, , , 
2021/8/25, 32, 6, 14, , , 
2021/8/26, 26, 6, 13, , , 
2021/8/27, 33, 7, 15, , , 
2021/8/28, 29, 14, 12, , , 
2021/8/29, 50, 12, 20, , , 
2021/8/30, 38, 11, 20, , , 
2021/8/31, 36, 13, 26, , , 
2021/9/1, 36, 13, 21, , , 
2021/7/2, 13, 3, 15, , , 
2021/7/3, 15, 6, 18, , , 
2021/7/4, 22, 9, 20, , , 
2021/7/5, 29, 12, 17, , , 
2021/7/6, 33, 14, 26, , , 
2021/7/7, 38, 12, 19, , , 
2021/7/8, 31, 17, 40, , , 
2021/7/9, 35, 8, 24, , , 
2021/7/10, 25, 11, 28, , , 
2021/7/11, 26, 6, 28, , , 
2021/7/12, 21, 5, 23, , , 
2021/7/13, 20, 4, 20, , , 
2021/7/14, 18, 4, 16, , , 
2021/7/15, 23, 8, 24, , , 
2021/7/16, 24, 6, 22, , , 
2021/7/17, 19, 5, 25, , , 
2021/7/18, 21, 10, 29, , , 
2021/7/19, 26, 7, 23, , , 
2021/7/20, 22, 10, 13, , , 
2021/7/21, 37, 7, 16, , , 
2021/7/22, 29, 3, 25, , , 
2021/7/23, 13, 10, 21, , , 
2021/7/24, 28, 10, 23, , , 
2021/7/25, 30, 10, 21, , , 
2021/7/26, 33, 9, 20, , , 
2021/7/27, 33, 11, 27, , , 
2021/7/28, 37, 14, 28, , , 
2021/7/29, 42, 13, 32, , , 
2021/7/30, 33, 6, 26, , , 
2021/7/31, 20, 18, 17, , , 
2021/8/1, 53, 21, 28, , , 
2021/6/2, 40, 6, 17, , , 
2021/6/3, 25, 12, 24, , , 
2021/6/4, 39, 17, 13, , , 
2021/6/5, 54, 17, 27, , , 
2021/6/6, 43, 26, 26, , , 
2021/6/7, 37, 2, 14, , , 
2021/6/8, 14, 5, 15, , , 
2021/6/9, 35, 11, 21, , , 
2021/6/10, 43, 12, 19, , , 
2021/6/11, 37, 8, 24, , , 
2021/6/12, 27, 14, 23, , , 
2021/6/13, 36, 5, 27, , , 
2021/6/14, 19, 7, 22, , , 
2021/6/15, 27, 5, 20, , , 
2021/6/16, 31, 9, 17, , , 
2021/6/17, 32, 5, 14, , , 
2021/6/18, 24, 11, 20, , , 
2021/6/19, 31, 17, 21, , , 
2021/6/20, 48, 12, 24, , , 
2021/6/21, 37, 12, 23, , , 
2021/6/22, 30, 4, 22, , , 
2021/6/23, 20, 7, 32, , , 
2021/6/24, 23, 15, 24, , , 
2021/6/25, 31, 10, 21, , , 
2021/6/26, 24, 12, 29, , , 
2021/6/27, 30, 16, 23, , , 
2021/6/28, 39, 6, 25, , , 
2021/6/29, 20, 1, 14, , , 
2021/6/30, 12, 2, 17, , , 
2021/7/1, 16, 2, 15, , , 
2021/5/2, 48, 48, 31, , , 
2021/5/3, 83, 9, 32, , , 
2021/5/4, 37, 13, 35, , , 
2021/5/5, 47, 19, 28, , , 
2021/5/6, 63, 15, 30, , , 
2021/5/7, 55, 18, 38, , , 
2021/5/8, 60, 11, 34, , , 
2021/5/9, 43, 18, 40, , , 
2021/5/10, 51, 29, 14, , , 
2021/5/11, 91, , , , , 
2021/5/24, 49, 12, 23, , , 
2021/5/25, 43, 5, 27, , , 
2021/5/26, 25, 5, 23, , , 
2021/5/27, 31, 10, 28, , , 
2021/5/28, 36, 16, 25, , , 
2021/5/29, 57, 7, 21, , , 
2021/5/30, 34, 6, 18, , , 
2021/5/31, 35, 6, 23, , , 
2021/6/1, 23, 10, 21, , , 
2021/4/2, 57, 23, 30, , , 
2021/4/3, 58, 18, 28, , , 
2021/4/4, 52, 29, 27, , , 
2021/4/5, 96, 23, 28, , , 
2021/4/6, 71, 24, 29, , , 
2021/4/7, 72, 31, 32, , , 
2021/4/8, 87, 31, 27, , , 
2021/4/9, 81, 32, 34, , , 
2021/4/10, 76, 15, 35, , , 
2021/4/11, 51, 9, 36, , , 
2021/4/12, 35, 19, 32, , , 
2021/4/13, 59, 22, 34, , , 
2021/4/14, 75, 30, 33, , , 
2021/4/15, 78, 16, 33, , , 
2021/4/16, 53, 15, 34, , , 
2021/4/17, 52, 26, 32, , , 
2021/4/18, 79, 25, 33, , , 
2021/4/19, 73, 25, 33, , , 
2021/4/20, 73, 30, 30, , , 
2021/4/21, 75, 36, 33, , , 
2021/4/22, 69, 24, 31, , , 
2021/4/23, 52, 14, 28, , , 
2021/4/24, 42, 45, 30, , , 
2021/4/25, 62, 18, 29, , , 
2021/4/26, 77, 9, 33, , , 
2021/4/27, 40, 11, 35, , , 
2021/4/28, 52, 12, 39, , , 
2021/4/29, 55, 10, 34, , , 
2021/4/30, 51, 10, 36, , , 
2021/5/1, 45, 19, 31, , , 
2021/3/2, 120, 56, 15, , , 
2021/3/3, 159, 55, 11, , , 
2021/3/4, 164, 50, 14, , , 
2021/3/5, 156, 45, 17, , , 
2021/3/6, 153, 44, 21, , , 
2021/3/7, 132, 38, 20, , , 
2021/3/8, 125, 44, 18, , , 
2021/3/9, 142, 43, 18, , , 
2021/3/10, 126, 54, 8, , , 
2021/3/11, 165, 41, 15, , , 
2021/3/12, 124, 50, 23, , , 
2021/3/13, 110, 40, 21, , , 
2021/3/14, 113, 55, 35, , , 
2021/3/15, 141, 14, 35, , , 
2021/3/16, 53, 24, 27, , , 
2021/3/17, 83, 22, 25, , , 
2021/3/18, 75, 23, 36, , , 
2021/3/19, 62, 15, 35, , , 
2021/3/20, 54, 31, 30, 2, , 
2021/3/21, 97, 51, 22, , , 
2021/3/22, 146, 54, 24, , , 
2021/3/23, 146, 43, 29, , , 
2021/3/24, 121, 46, 28, , , 
2021/3/25, 127, 47, 27, , , 
2021/3/26, 90, 29, 30, , , 
2021/3/27, 81, 56, 35, , , 
2021/3/28, 127, 24, 35, , , 
2021/3/29, 86, 38, 23, , , 
2021/3/30, 103, 28, 34, , , 
2021/3/31, 82, 23, 30, , , 
2021/4/1, 68, 20, 23, , , 
2021/2/2, 143, 73, 7, 5, , 
2021/2/3, 218, 53, 14, 1, , 
2021/2/4, 172, 68, 8, , , 
2021/2/5, 205, 41, 20, , , 
2021/2/6, 137, 24, 20, , , 
2021/2/7, 95, 56, 11, , , 
2021/2/8, 176, 63, 10, , , 
2021/2/9, 190, 53, 2, , , 
2021/2/10, 167, 49, 6, 9, , 
2021/2/11, 157, 35, 25, 4, , 
2021/2/12, 116, 45, 26, 5, , 
2021/2/13, 151, 43, 17, 5, , 
2021/2/14, 148, 55, 19, 6, , 
2021/2/15, 165, 45, 25, 3, , 
2021/2/16, 135, 45, 22, 4, , 
2021/2/17, 153, 61, 12, 1, , 
2021/2/18, 180, 57, 14, , , 
2021/2/19, 175, 36, 22, , , 
2021/2/20, 125, 40, 16, , , 
2021/2/21, 136, 18, 30, , , 
2021/2/22, 70, 45, 19, 4, , 
2021/2/23, 147, 49, 17, 6, , 
2021/2/24, 154, 48, 18, 5, , 
2021/2/25, 148, 53, 16, , , 
2021/2/26, 157, 76, 15, , , 
2021/2/27, 104, , , , , 
2021/3/1, 164, 50, 24, , , 
2021/1/5, 229, 73, , 6, 92, 
2021/1/6, 166, 62, , 5, , 
2021/1/7, 159, 72, , 8, , 
2021/1/8, 214, 54, , 7, , 
2021/1/9, 171, 64, , 9, , 
2021/1/10, 195, 70, , 10, , 
2021/1/11, 207, 84, , 12, , 
2021/1/12, 243, 63, , 9, , 
2021/1/13, 202, 59, , 8, , 
2021/1/14, 188, 65, , 8, , 
2021/1/15, 198, 77, , 8, , 
2021/1/16, 215, 83, , 8, , 
2021/1/17, 228, 68, , 8, , 
2021/1/18, 207, 72, , 13, , 
2021/1/19, 209, 70, , 11, , 
2021/1/20, 208, 84, , 1, , 
2021/1/21, 246, 69, , , , 
2021/1/22, 202, 56, , , , 
2021/1/23, 179, 56, , 10, , 
2021/1/24, 179, 55, , 10, , 
2021/1/25, 178, 39, , 4, , 
2021/1/26, 140, 65, 6, 7, , 
2021/1/27, 193, 66, 12, 6, , 
2021/1/28, 192, 81, 5, 5, , 
2021/1/29, 233, 48, 16, 5, , 
2021/1/30, 168, 62, 11, 9, , 
2021/1/31, 191, 35, 18, 1, , 
2021/2/1, 108, 42, 13, 4, , 
2020/10/2, 81, 25, 18, , 48, 
2020/10/3, 93, 23, 17, , 41, 
2020/10/4, 73, 40, 14, , 58, 
2020/10/5, 130, 41, 16, , 59, 
2020/10/6, 115, 33, 8, , 63, 
2020/10/7, 113, , 14, , 64, 
2020/10/9, 57, 35, 17, , , 
2020/10/10, 83, 32, 15, , , 
2020/10/11, 79, 55, 13, , , 
2020/10/12, 135, 38, 16, , , 
2020/10/13, 99, 49, 10, , , 
2020/10/14, 130, 55, 15, , , 
2020/10/15, 135, 62, 13, , , 
2020/10/16, 144, 55, 12, , , 
2020/10/17, 130, 58, 13, , , 
2020/10/18, 151, 54, 13, , , 
2020/10/19, 142, 69, 6, , , 
2020/10/20, 157, 64, 16, , , 
2020/10/21, 126, 60, 13, , , 
2020/10/22, 150, 60, 10, , , 
2020/10/23, 149, 61, 8, , , 
2020/10/24, 140, 66, 3, , , 
2020/10/25, 159, 53, 13, , , 
2020/10/26, 129, 39, 16, , , 
2020/10/27, 93, 35, 18, , , 
2020/10/28, 89, 78, 11, , , 
2020/10/29, 164, 74, 6, , , 
2020/10/30, 165, 57, 5, , , 
2020/10/31, 148, 24, 13, , , 
2020/11/1, 89, 43, 8, , , 
2020/11/2, 133, 53, 6, , , 
2020/11/3, 144, 53, 2, , , 
2020/11/4, 139, 66, 4, , , 
2020/11/5, 167, 56, 6, , , 
2020/11/6, 149, 58, 14, , , 
2020/11/7, 128, 36, 14, , , 
2020/11/8, 98, 69, 3, , , 
2020/11/9, 177, 68, 1, , , 
2020/11/10, 173, 66, 2, , , 
2020/11/11, 158, 65, 12, , , 
2020/11/12, 162, 55, 6, , , 
2020/11/13, 146, 54, 6, , , 
